district,medianhouseholdincome,meanhouseholdincome,medianfamilyincome,meanfamilyincome
East Chambers Independent School District,43378,61965,55513,74772
Eastland Independent School District,34881,72311,52639,79808
Ector County Independent School District,58335,78271,67601,85526
Ector Independent School District,51389,56986,59643,67030
Edcouch-Elsa Independent School District,24614,37510,30030,39058
Eden Consolidated Independent School District,42100,59592,55417,73183
Edgewood Independent School District (Bexar County),28066,37623,31423,40308
Edgewood Independent School District (Van Zandt County),47399,64717,57820,77586
Edinburg Consolidated Independent School District,38712,53689,41102,55728
Edna Independent School District,51179,64151,62159,75073
El Campo Independent School District,46567,67551,58785,75975
El Paso Independent School District,40389,58842,47389,67246
Electra Independent School District,38548,56440,51646,71408
Elgin Independent School District,55031,68950,68027,79847
Elgin/Giddings Independent School Districts (9-12) in McDade,55820,66262,57241,70098
Elkhart Independent School District,42583,57780,57898,66543
Elysian Fields Independent School District,46351,54161,60027,62461
Ennis Independent School District,46162,60972,54772,69899
Era Independent School District,53287,68628,64500,78210
Etoile Independent School District,40054,55124,47563,62903
Eula Independent School District,39099,52580,54514,66810
Eustace Independent School District,46940,59262,61875,69659
Evadale Independent School District,60848,69717,74091,78288
Evant Independent School District,51310,54274,60962,63175
Everman Independent School District,47117,56220,50178,58968
Excelsior Independent School District,40511,52265,41944,57798
Ezzell Independent School District,56875,87381,76429,104756
Fabens Independent School District,24926,34306,31132,37274
Fairfield Independent School District,46278,62759,60074,73589
Falls City Independent School District,76250,113885,94500,130674
Fannindel Independent School District,30938,43638,39519,51912
Farmersville Independent School District,64694,81021,70889,85800
Farwell Independent School District,50833,67186,54375,74481
Fayetteville Independent School District,46625,67400,58922,80006
Ferris Independent School District,54281,60999,60439,64627
Flatonia Independent School District,43568,67854,51932,70417
Florence Independent School District,52417,66506,56111,71924
Floresville Independent School District,62906,74067,72882,81609
Flour Bluff Independent School District,62207,79748,72486,89806
Floydada Independent School District,41500,54855,46607,61539
Follett Independent School District,60000,83099,68393,100378
Forestburg Independent School District,59219,79826,57500,76339
Forney Independent School District,89163,96894,95163,101550
Forsan Independent School District,77604,98269,81591,101001
Fort Bend Independent School District,86102,112996,94377,120916
Fort Davis Independent School District,47222,57596,60156,74300
Fort Elliott Consolidated Independent School District,62813,79985,78750,94956
Fort Hancock Independent School District,25233,34819,26919,37180
Fort Sam Houston Independent School District,62394,65742,62665,65570
Fort Stockton Independent School District,50504,60412,68429,73754
Fort Worth Independent School District,43580,65175,51034,75163
Franklin Independent School District,55772,70025,74191,81906
Frankston Independent School District,50605,72082,69155,88218
Fredericksburg Independent School District,57033,74444,70287,87178
Freer Independent School District,44599,58506,58947,63760
Frenship Independent School District,57986,76341,77072,94336
Friendswood Independent School District,110598,144782,133386,163682
Friona Independent School District,50741,63638,55466,65224
Frisco Independent School District,107195,127409,122088,140805
Frost Independent School District,41364,59129,50221,64662
Fruitvale Independent School District,40139,47879,56667,55788
Gainesville Independent School District,44605,59027,54083,66728
Galena Park Independent School District,42816,55259,46356,57419
Galveston Independent School District,42839,63990,55583,80347
Ganado Independent School District,56029,76301,69474,91965
Garland Independent School District,59065,72961,64621,78208
Garner Independent School District,60357,77107,76625,88231
Garrison Independent School District,38958,44429,50293,49851
Gary Independent School District,49946,69426,58333,70647
Gatesville Independent School District,46932,63955,58718,76093
Gause Independent School District,55000,104885,67833,119008
George West Independent School District,51625,64513,54109,70336
Georgetown Independent School District,70653,89068,85314,103342
Gholson Independent School District,60750,66985,68125,69566
Giddings Independent School District,53289,62882,61743,72946
Gilmer Independent School District,46383,64778,60855,75525
Gladewater Independent School District,41228,60398,49211,61216
Glasscock County Independent School District,62159,96623,75625,105492
Glen Rose Independent School District,50254,68108,58044,76006
Godley Independent School District,62054,74919,69597,79917
Gold-Burg Independent School District,56071,84893,75972,96245
Goldthwaite Independent School District,45864,59992,55435,71624
Goliad Independent School District,54375,77261,63257,89930
Gonzales Independent School District,48194,64520,57622,74387
Goodrich Independent School District,35256,46496,39167,54323
Goose Creek Consolidated Independent School District,53429,69109,63323,76818
Gordon Independent School District,46458,81564,62656,95743
Gorman Independent School District,31081,40634,42963,54961
Grady Independent School District,85208,103750,105833,113656
Graford Independent School District,49628,83585,60652,99748
Graham Independent School District,51165,69601,61187,79814
Granbury Independent School District,58851,79276,70064,91411
Grand Prairie Independent School District,53015,66031,57153,69939
Grand Saline Independent School District,42156,54358,50458,61875
Grandfalls-Royalty Independent School District,39167,57555,48750,64770
Grandview Independent School District,58466,69563,64375,73764
Grandview-Hopkins Independent School District,94028,109267,94028,108516
Granger Independent School District,42358,57487,61500,69402
Grape Creek Independent School District,53598,70700,56637,76443
Grapeland Independent School District,36719,52236,49808,62542
Grapevine-Colleyville Independent School District,90889,128359,117308,151337
Greenville Independent School District,40855,54182,50289,60933
Greenwood Independent School District,92388,112441,97803,121056
Gregory-Portland Independent School District,58105,79564,65225,87988
Groesbeck Independent School District,41741,55695,54052,66074
Groom Independent School District,59583,71217,86250,89515
Groveton Independent School District,35273,40933,39233,48619
Gruver Independent School District,40833,68629,53661,78729
Gunter Independent School District,70000,97384,84141,112419
Gustine Independent School District,43977,58907,51923,62751
Guthrie Common School District,56458,69344,73750,82540
Hale Center Independent School District,40351,50000,42398,55997
Hallettsville Independent School District,45019,68524,60125,82829
Hallettsville Independent School District (9-12) in Vysehrad,65000,81063,54650,86662
Hallsburg Independent School District,70455,83121,71250,90070
Hallsville Independent School District,57530,74382,66347,82635
Hamilton Independent School District,46852,65993,57791,80977
Hamlin Independent School District,40083,60240,51983,64198
Hamshire-Fannett Independent School District,67224,83904,83607,94797
Happy Independent School District,38750,52211,51397,62679
Hardin Independent School District,48006,74603,63281,88607
Hardin-Jefferson Independent School District,62416,90706,84148,109393
Harlandale Independent School District,34609,42371,39068,46097
Harleton Independent School District,43956,62616,52500,69913
Harlingen Consolidated Independent School District,39435,56146,44388,61940
Harmony Independent School District,52145,62463,61391,71255
Harper Independent School District,52346,73491,57328,82936
Harrold Independent School District,58750,62168,58750,61366
Hart Independent School District,44028,59929,47778,68407
Hartley Independent School District,48854,54585,54125,58896
Harts Bluff Independent School District,59261,82253,63750,88264
Haskell Consolidated Independent School District,44125,53069,50909,61845
Hawkins Independent School District,44010,53661,50952,63668
Hawley Independent School District,42170,55133,49375,65315
Hays Consolidated Independent School District,72021,82001,76634,86555
Hearne Independent School District,47804,51986,52744,56887
Hedley Independent School District,38516,48620,53958,60435
Hemphill Independent School District,32755,48748,41425,55484
Hempstead Independent School District,41169,53105,52143,61916
Henderson Independent School District,44869,65465,54120,77624
Henrietta Independent School District,42634,69382,59281,83194
Hereford Independent School District,46842,58219,53030,64569
Hermleigh Independent School District,67188,83413,73438,89979
Hico Independent School District,36133,54234,51250,65705
Hidalgo Independent School District,36875,43425,41164,45661
Higgins Independent School District,51111,68738,63125,78469
High Island Independent School District,64438,71323,73810,82780
Highland Independent School District,70625,86305,75833,90474
Highland Park Independent School District (Dallas County),192981,301306,250000,349111
Highland Park Independent School District (Potter County),60152,59513,62245,64803
Hillsboro Independent School District,38860,53490,42764,59126
Hitchcock Independent School District,47962,65863,54837,75108
Holland Independent School District,44653,61404,65500,70642
